g;g;g;g;g;g;g;g;g
20;25;1;23;25;20;1;-633,0497611;0,950238923
6;25;28;29,5;28;25;6;861,5542777;0,554277708
19;7;24;25;24;19;7;540;0
30;6;22;29;30;22;6;-867,0115339;0,988466051
17;23;3;21,5;23;17;3;-579,0215548;0,978445187
4;3;16;11,5;16;4;3;-972,840457;0,159543045
20;21;3;22;21;20;3;178,2357989;0,235798873
22;4;28;27;28;22;4;-597,5575286;0,442471389
3;25;14;21;25;14;3;-2309,61815;0,381849742
7;9;2;9;9;7;2;0;0
20;24;9;26,5;24;20;9;1463,909911;0,909910672
1;14;27;21;27;14;1;-3849,363584;0,636416237
29;28;17;37;29;28;17;8759,178044;0,178043629
22;12;7;20,5;22;12;7;-779,3290835;0,670916549
14;15;28;28,5;28;15;14;522,509517;0,509516959
24;17;30;35,5;30;24;17;6971,824317;0,824316826
24;15;2;20,5;24;15;2;-1612,424516;0,57548384
1;5;4;5;5;4;1;0;0
27;21;11;29,5;27;21;11;2135,21529;0,215290302
1;29;18;24;29;18;1;-3380,295845;0,704154959
2;15;22;19,5;22;15;2;-869,3764603;0,623539721
20;3;5;14;20;5;3;-2222,544488;0,455512256
2;14;4;10;14;4;2;-607,1573108;0,842689248
16;17;11;22;17;16;11;1547,837201;0,837200742
22;13;30;32,5;30;22;13;2918,136479;0,136478613
7;23;14;22;23;14;7;-562,8498912;0,150108821
27;9;30;33;30;27;9;2481,651063;0,651063304
2;21;21;22;21;21;2;93,8083152;0,808315196
22;26;30;39;30;26;22;12421,30102;0,301018814
22;3;11;18;22;11;3;-1781,909089;0,09091141
17;1;2;10;17;2;1;-1593,787941;0,212059275
4;10;10;12;10;10;4;110,8512517;0,851251684
27;8;8;21,5;27;8;8;-4647,82167;0,178330289
24;10;26;30;26;24;10;2629,068276;0,068276025
26;13;23;31;26;23;13;4008,790341;0,790341238
17;20;11;24;20;17;11;1783,228533;0,228532746
12;18;12;21;18;12;12;1113,565894;0,565893874
25;22;28;37,5;28;25;22;11271,48014;0,480144526
5;27;1;16,5;27;5;1;-7602,57669;0,423310462
8;21;7;18;21;8;7;-1400,071427;0,928573251
21;4;5;15;21;5;4;-2556,169008;0,830991503
24;6;19;24,5;24;19;6;251,8184025;0,81840245
20;28;5;26,5;28;20;5;-1079,110734;0,889265848
10;8;9;13,5;10;9;8;318,2805735;0,280573453
23;7;28;29;28;23;7;710,8417545;0,841754542
18;1;3;11;18;3;1;-1857,309883;0,690117401
8;15;11;17;15;11;8;445,2954076;0,295407567
23;14;19;28;23;19;14;3333,646652;0,646651941
10;22;19;25,5;22;19;10;1780,668964;0,668964445
2;7;14;11,5;14;7;2;-362,4307585;0,569241527
18;29;11;29;29;18;11;0;0
4;17;18;19,5;18;17;4;256,6730502;0,673050178
30;17;21;34;30;21;17;5154,561475;0,561475043
23;22;12;28,5;23;22;12;3149,070767;0,070766958
8;3;22;16,5;22;8;3;-2563,641869;0,358130937
27;8;12;23,5;27;12;8;-3024,346271;0,653728954
15;14;4;16,5;15;14;4;190,4071501;0,407150109
8;6;9;11,5;9;8;6;163,1998152;0,199815219
4;12;5;10,5;12;5;4;-173,76486;0,235140024
3;10;24;18,5;24;10;3;-3116,729973;0,270026685
24;6;5;17,5;24;6;5;-3908,771061;0,228938536
4;14;30;24;30;14;4;-5878,775383;0,22461732
6;17;18;20,5;18;17;6;574,4509947;0,450994701
23;6;14;21,5;23;14;6;-808,5436126;0,456387424
3;9;11;11,5;11;9;3;36,03112804;0,031128035
22;12;18;26;22;18;12;2284,360742;0,36074209
4;8;4;8;8;4;4;0;0
4;18;1;11,5;18;4;1;-1735,85258;0,147419944
9;2;7;9;9;7;2;0;0
29;30;22;40,5;30;29;22;14216,29345;0,293447408
29;4;2;17,5;29;4;2;-10066,58886;0,411143245
23;26;16;32,5;26;23;16;5808,481181;0,481181239
1;23;5;14,5;23;5;1;-4151,072329;0,927671485
19;28;19;33;28;19;19;5629,671394;0,671393607
13;1;26;20;26;13;1;-3568,764492;0,23550791
18;29;7;27;29;18;7;-1870,614872;0,385127826
7;15;20;21;20;15;7;384,9363584;0,936358376
21;5;12;19;21;12;5;-854,3441929;0,655807066
29;29;12;35;29;29;12;4898,51406;0,514060406
9;9;29;23,5;29;9;9;-5605,735795;0,26420488
14;24;11;24,5;24;14;11;350,8133518;0,813351816
25;12;14;25,5;25;14;12;391,9870354;0,98703542
13;11;11;17,5;13;11;11;795,3499377;0,349937724
1;24;29;27;29;24;1;-810,5997779;0,400222058
16;10;6;16;16;10;6;0;0
13;14;14;20,5;14;14;13;1434,712583;0,712582824
12;25;4;20,5;25;12;4;-2857,539973;0,460027347
8;17;14;19,5;17;14;8;698,2610935;0,261093494
15;1;23;19,5;23;15;1;-1286,677161;0,322838787
24;4;28;28;28;24;4;0;0
18;30;2;25;30;18;2;-4025;0
5;19;3;13,5;19;5;3;-1803,589916;0,410083767
9;25;3;18,5;25;9;3;-4116,750286;0,249714391
25;18;10;26,5;25;18;10;1082,971595;0,971595455
20;28;14;31;28;20;14;3123,515808;0,515807548
17;23;3;21,5;23;17;3;-579,0215548;0,978445187
3;13;25;20,5;25;13;3;-2674,168424;0,831576394
4;1;23;14;23;4;1;-4377,739143;0,260857474
17;26;12;27,5;26;17;12;1280,2023;0,202300298
12;30;4;23;30;12;4;-7016,301519;0,698481393
25;10;22;28,5;25;22;10;2246,857655;0,857654662
29;3;22;27;29;22;3;-1247,076581;0,92341855
1;30;19;25;30;19;1;-3600;0
26;6;5;18,5;26;6;5;-5443,658958;0,34104195
25;7;22;27;25;22;7;1039,230485;0,230484541
13;25;12;25;25;13;12;0;0
25;10;16;25,5;25;16;10;371,7880255;0,788025543
3;22;8;16,5;22;8;3;-2563,641869;0,358130937
5;9;26;20;26;9;5;-4427,414595;0,58540455
4;26;15;22,5;26;15;4;-2303,521633;0,478366921
26;1;5;16;26;5;1;-6600;0
3;17;3;11,5;17;3;3;-1347,564189;0,435811478
10;28;23;30,5;28;23;10;2122,78032;0,780320491
21;4;12;18,5;21;12;4;-1013,461446;0,538554477
28;5;28;30,5;28;28;5;880,1772061;0,177206057
23;10;8;20,5;23;10;8;-1485,649124;0,350875774
27;3;28;29;28;27;3;280,02857;0,028569971
16;8;13;18,5;16;13;8;620,9803552;0,980355215
1;21;30;26;30;21;1;-2549,509757;0,490243204
30;17;13;30;30;17;13;0;0
18;14;29;30,5;29;18;14;1708,579282;0,579282346
5;22;13;20;22;13;5;-939,1485505;0,85144945
16;3;25;22;25;16;3;-1604,12219;0,87781014
27;12;13;26;27;13;12;-928,0215515;0,978448526
15;29;21;32,5;29;21;15;4015,555325;0,555325271
26;30;25;40,5;30;26;25;15018,15254;0,152537273
4;13;5;11;13;5;4;-278,5964824;0,40351761
7;20;2;14,5;20;7;2;-1963,441504;0,558496144
19;18;26;31,5;26;19;18;5209,088643;0,088643149
17;16;13;23;17;16;13;2014,24924;0,249239791
18;20;7;22,5;20;18;7;827,1332505;0,133250488
3;5;29;18,5;29;5;3;-9450,191951;0,808048824
17;6;29;26;29;17;6;-2753,470537;0,52946266
9;10;22;20,5;22;10;9;-820,0783166;0,921683427
18;7;23;24;23;18;7;499,6959075;0,695907528
22;24;16;31;24;22;16;5261,537323;0,537322874
28;9;23;30;28;23;9;1610,304319;0,304319065
12;5;29;23;29;12;5;-5697,44785;0,552150304
8;3;17;14;17;8;3;-740,8481626;0,151837419
17;23;6;23;23;17;6;0;0
14;16;11;20,5;16;14;11;1258,132573;0,13257263
17;28;17;31;28;17;17;3273,845445;0,845445344
16;21;27;32;27;21;16;4978,03174;0,031739553
18;23;10;25,5;23;18;10;1467,584311;0,584311356
4;8;26;19;26;8;4;-5034,52828;0,471720211
14;8;20;21;20;14;8;417,0143882;0,014388241
18;23;2;21,5;23;18;2;-474,6933467;0,306653262
29;3;30;31;30;29;3;311,7948043;0,794804318
26;19;6;25,5;26;19;6;-320,0280627;0,971937266
7;16;28;25,5;28;16;7;-2218,734991;0,265008854
25;7;22;27;25;22;7;1039,230485;0,230484541
4;29;1;17;29;4;1;-10291,27164;0,728358458
12;28;25;32,5;28;25;12;3944,294361;0,294361202
30;27;8;32,5;30;27;8;1920,482982;0,482981651
22;2;25;24,5;25;22;2;-139,2116475;0,788352454
5;23;16;22;23;16;5;-478,4224075;0,577592498
22;11;3;18;22;11;3;-1781,909089;0,09091141
27;8;15;25;27;15;8;-1700;0
22;27;29;39;29;27;22;12739,79592;0,795916733
13;17;5;17,5;17;13;5;117,6553162;0,655316231
9;23;28;30;28;23;9;1610,304319;0,304319065
25;21;19;32,5;25;21;19;6637,958803;0,958802999
26;29;18;36,5;29;26;18;8801,743801;0,74380139
5;9;18;16;18;9;5;-616;0
4;10;13;13,5;13;10;4;61,08415046;0,084150461
16;21;12;24,5;21;16;12;1840,68734;0,687339776
7;14;16;18,5;16;14;7;556,4629157;0,462915712
15;30;26;35,5;30;26;15;6381,96374;0,963740079
9;1;18;14;18;9;1;-972,8309206;0,169079439
7;26;2;17,5;26;7;2;-5787,072821;0,927178967
3;24;29;28;29;24;3;-529,1502622;0,849737787
27;8;11;23;27;11;8;-3452,998697;0,001303215
1;22;18;20,5;22;18;1;-331,0875191;0,912480887
6;27;24;28,5;27;24;6;810,7906298;0,790629764
2;1;9;6;9;2;1;-146,9693846;0,030615433
3;8;3;7;8;3;3;-42,33202098;0,667979023
5;19;22;23;22;19;5;345,2998697;0,299869679
14;30;18;31;30;18;14;1230,475924;0,475924185
22;8;18;24;22;18;8;940,6040612;0,604061229
16;24;15;27,5;24;16;15;2638,409759;0,409758678
2;1;18;10,5;18;2;1;-1962,449293;0,550707263
12;23;28;31,5;28;23;12;3255,943487;0,943487253
16;28;6;25;28;16;6;-2565;0
10;26;5;20,5;26;10;5;-4052,850811;0,149189112
26;15;12;26,5;26;15;12;429,1990815;0,199081502
25;25;28;39;28;25;25;13464,21568;0,215684547
26;2;21;24,5;26;21;2;-584,6889197;0,311080306
11;10;4;12,5;11;10;4;112,6951433;0,695143252
30;21;16;33,5;30;21;16;4431,375064;0,375064349
19;23;16;29;23;19;16;4200,42855;0,428549565
13;15;11;19,5;15;13;11;1097,898273;0,898272695
18;4;13;17,5;18;13;4;-127,0677415;0,93225847
21;6;13;20;21;13;6;-438,2693236;0,73067641
29;23;3;27,5;29;23;3;-867,2338163;0,766183669
28;19;10;28,5;28;19;10;469,1241257;0,124125699
5;11;24;20;24;11;5;-2414,953416;0,0465843
30;13;10;26,5;30;13;10;-4013,365324;0,634675667
7;29;3;19,5;29;7;3;-8652,365724;0,634276269
7;11;28;23;28;11;7;-4603,998262;0,00173762
7;14;26;23,5;26;14;7;-1899,684544;0,315455875
19;14;8;20,5;19;14;8;551,8125319;0,812531855
7;13;20;20;20;13;7;0;0
30;2;9;20,5;30;9;2;-9151,032644;0,967356341
2;13;30;22,5;30;13;2;-6928,352711;0,647288925
4;20;1;12,5;20;4;1;-2591,988295;0,011705213
8;8;11;13,5;11;8;8;277,8639927;0,863992697
22;5;25;26;25;22;5;428,3176391;0,317639142
24;24;20;34;24;24;20;8163,332653;0,332652783
24;23;6;26,5;24;23;6;923,3893283;0,38932827
28;28;17;36,5;28;28;17;8511,750698;0,750698024
8;3;1;6;8;3;1;-73,48469228;0,515307717
7;14;22;21,5;22;14;7;-252,1265028;0,873497154
2;14;20;18;20;14;2;-543,058008;0,941992049
14;10;22;23;22;14;10;561,1122882;0,112288228
4;17;9;15;17;9;4;-511,2338017;0,766198301
24;23;19;33;24;23;19;7238,148935;0,148934638
14;22;11;23,5;22;14;11;863,4929746;0,492974602
16;14;23;26,5;23;16;14;2364,777548;0,777548008
3;16;3;11;16;3;3;-1061,319933;0,680067086
26;27;26;39,5;27;26;26;14317,79361;0,793610301
14;7;17;19;17;14;7;523,0678732;0,067873225
3;13;6;11;13;6;3;-265,3299832;0,670016772
13;26;7;23;26;13;7;-2301,999131;0,00086881
9;6;6;10,5;9;6;6;98,42624936;0,426249357
9;19;8;18;19;9;8;-381,8376618;0,162338159
8;20;28;28;28;20;8;0;0
26;23;15;32;26;23;15;5192,992201;0,992201034
17;15;28;30;28;17;15;2136,117974;0,11797427
26;30;23;39,5;30;26;23;13299,6394;0,639398013
9;20;3;16;20;9;3;-1456;0
30;8;18;28;30;18;8;-2116,601049;0,398951148
17;13;27;28,5;27;17;13;1427,391899;0,391898818
19;11;22;26;22;19;11;2141,588196;0,588195709
25;16;3;22;25;16;3;-1604,12219;0,87781014
22;10;7;19,5;22;10;7;-1310,964504;0,035496404
16;11;11;19;16;11;11;836,9085972;0,90859716
16;14;12;21;16;14;12;1443,511344;0,511343911
4;23;3;15;23;4;3;-4089,870414;0,129586405
30;15;20;32,5;30;20;15;3117,667178;0,667178005
13;6;1;10;13;6;1;-341,5259873;0,474012702
5;18;22;22,5;22;18;5;186,7720243;0,772024304
6;5;2;6,5;6;5;2;8,604595429;0,604595429
19;27;21;33,5;27;21;19;6818,891426;0,89142555
5;28;9;21;28;9;5;-6158,981734;0,018265979
29;9;14;26;29;14;9;-3120,599942;0,400057681
10;8;7;12,5;10;8;7;218,7611604;0,76116043
11;29;20;30;29;20;11;1040,672859;0,67285926
24;24;14;31;24;24;14;4637,947714;0,947714237
20;22;18;30;22;20;18;5258,136552;0,13655205
13;21;12;23;21;13;12;1055,082935;0,082935129
23;5;30;29;30;23;5;-775,4637322;0,536267773
29;26;29;42;29;29;26;17523,92285;0,922848495
1;9;8;9;9;8;1;0;0
18;10;1;14,5;18;10;1;-809,6518783;0,348121683
16;29;14;29,5;29;16;14;568,2592044;0,259204446
22;19;22;31,5;22;22;19;6331,585859;0,585859182
4;29;4;18,5;29;4;4;-9495,354159;0,645841173
5;29;6;20;29;6;5;-8452,336955;0,663045051
27;13;14;27;27;14;13;0;0
13;28;5;23;28;13;5;-4316,248371;0,751629019
17;22;15;27;22;17;15;3117,691454;0,691453624
8;6;23;18,5;23;8;6;-2540,37418;0,625819576
24;14;1;19,5;24;14;1;-2021,921253;0,078746665
23;26;29;39;29;26;23;12989,59584;0,595836669
3;12;16;15,5;16;12;3;-86,12196112;0,878038878
19;17;24;30;24;19;17;4699,459543;0,459543394
2;17;14;16,5;17;14;2;-73,62409804;0,375901958
7;15;11;16,5;15;11;7;318,360755;0,360754982
4;24;17;22,5;24;17;4;-723,9639418;0,036058175
28;24;13;32,5;28;24;13;4252,141726;0,141725979
23;27;15;32,5;27;23;15;5212,739522;0,739521625
10;16;11;18,5;16;11;10;685,4977947;0,497794717
7;9;18;17;18;9;7;-329,84845;0,151549951
8;11;5;12;11;8;5;96,99484522;0,994845224
3;25;16;22;25;16;3;-1604,12219;0,87781014
16;21;26;31,5;26;21;16;5023,876603;0,876602504
25;21;29;37,5;29;25;21;10735,65426;0,654263292
10;7;3;10;10;7;3;0;0
14;2;20;18;20;14;2;-543,058008;0,941992049
22;10;10;21;22;10;10;-554,4916591;0,50834091
18;3;24;22,5;24;18;3;-624,3521955;0,647804471
24;14;10;24;24;14;10;0;0
30;30;5;32,5;30;30;5;979,8382559;0,838255945
15;5;1;10,5;15;5;1;-761,8920784;0,107921643
9;6;25;20;25;9;6;-3443,544685;0,45531465
27;12;4;21,5;27;12;4;-4239,782456;0,217544091
7;1;7;7,5;7;7;1;4,45024578;0,45024578
18;26;17;30,5;26;18;17;4193,785511;0,785511213
28;23;20;35,5;28;23;20;8657,99142;0,991420052
10;22;26;29;26;22;10;2148,680758;0,680758047
23;16;5;22;23;16;5;-478,4224075;0,577592498
14;30;15;29,5;30;15;14;-610,3524788;0,647521151
17;18;25;30;25;18;17;4272,235949;0,23594854
24;24;26;37;26;24;24;11307,85554;0,855543824
1;5;7;6,5;7;5;1;-10,51672775;0,483272253
17;30;27;37;30;27;17;8515,867542;0,867542418
12;24;28;32;28;24;12;3620,38672;0,386719675
21;15;29;32,5;29;21;15;4015,555325;0,555325271
21;8;25;27;25;21;8;1184,722752;0,722752377
17;20;28;32,5;28;20;17;4970,452244;0,452243792
30;9;8;23,5;30;9;8;-7081,854312;0,145688297
2;8;6;8;8;6;2;0;0
8;30;25;31,5;30;25;8;1285,960873;0,960873117
24;19;12;27,5;24;19;12;2418,159901;0,159900562
15;24;11;25;24;15;11;700;0
12;8;15;17,5;15;12;8;546,4435798;0,44357983
24;6;20;25;24;20;6;475;0
20;15;27;31;27;20;15;3919,706111;0,706111432
5;24;7;18;24;7;5;-3640,18571;0,814290452
5;3;30;19;30;5;3;-10740,327;0,673003116
17;27;14;29;27;17;14;1938,659331;0,659330568
13;21;2;18;21;13;2;-1018,233765;0,766235091
6;21;24;25,5;24;21;6;664,6736688;0,673668756
11;20;11;21;20;11;11;458,2575695;0,257569496
21;22;19;31;22;21;19;6013,185512;0,185511856
7;13;9;14,5;13;9;7;235,6129805;0,612980463
27;5;28;30;28;27;5;821,5838363;0,583836258
6;21;6;16,5;21;6;6;-2015,269277;0,73072325
9;1;23;16,5;23;9;1;-3069,36326;0,636740248
28;15;11;27;28;15;11;-997,6612652;0,33873484
4;1;8;6,5;8;4;1;-52,58363873;0,416361266
8;22;15;22,5;22;15;8;257,9232717;0,923271657
12;12;2;13;12;12;2;39,66106403;0,66106403
2;16;27;22,5;27;16;2;-2844,271113;0,728887032
13;6;19;19;19;13;6;0;0
26;2;23;25,5;26;23;2;-148,3364788;0,663521218
11;30;17;29;30;17;11;-1163,195598;0,804401659
5;2;10;8,5;10;5;2;-99,49061671;0,509383294
13;26;28;33,5;28;26;13;4894,40854;0,408540461
20;20;17;28,5;20;20;17;4435,658696;0,658696328
20;18;26;32;26;20;18;5702,109083;0,109083488
9;24;6;19,5;24;9;6;-2816,779731;0,220268696
24;17;8;24,5;24;17;8;306,2656246;0,265624601
14;4;8;13;14;8;4;-162,2498074;0,750192604
14;12;13;19,5;14;13;12;1184,007941;0,007941142
10;16;19;22,5;19;16;10;1348,909064;0,909064416
4;5;29;19;29;5;4;-9153,687781;0,312218565
21;8;23;26;23;21;8;1376,735269;0,73526867
4;17;15;18;17;15;4;178,1909089;0,190908859
22;7;27;28;27;22;7;666,7293304;0,729330388
3;13;23;19,5;23;13;3;-1657,611118;0,388882401
1;26;3;15;26;3;1;-7157,273224;0,726776209
8;24;12;22;24;12;8;-1313,316413;0,683587249
24;15;7;23;24;15;7;-613,866435;0,133565016
12;8;9;14,5;12;9;8;340,3298607;0,329860668
13;16;8;18,5;16;13;8;620,9803552;0,980355215
24;26;9;29,5;26;24;9;2143,362376;0,36237567
28;9;18;27,5;28;18;9;-460,8203877;0,179612335
18;12;22;26;22;18;12;2284,360742;0,36074209
3;2;15;10;15;3;2;-885,4377448;0,562255153
29;14;24;33,5;29;24;14;4824,953519;0,953519044
7;21;13;20,5;21;13;7;-229,2144363;0,785563691
12;2;25;19,5;25;12;2;-3187,713688;0,28631231
16;12;24;26;24;16;12;1427,725464;0,725463806
11;22;17;25;22;17;11;1680;0
30;23;1;27;30;23;1;-1621,199556;0,800444116
14;16;8;19;16;14;8;719,2183257;0,218325684
28;3;8;19,5;28;8;3;-7122,263154;0,736846361
14;3;7;12;14;7;3;-311,7691454;0,230854638
15;4;17;18;17;15;4;178,1909089;0,190908859
29;8;25;31;29;25;8;1536,702964;0,702964141
24;19;17;30;24;19;17;4699,459543;0,459543394
7;21;30;29;30;21;7;-947,7890061;0,210993944
26;6;26;29;26;26;6;1114,729115;0,729115077
2;29;8;19,5;29;8;2;-8442,611403;0,388596845
7;28;10;22,5;28;10;7;-5054,703197;0,296802575
10;30;5;22,5;30;10;5;-7782,167679;0,832320679
26;13;25;32;26;25;13;4514,169691;0,169691095
18;24;20;31;24;20;18;5573,332127;0,332127193
10;16;8;17;16;10;8;259,7556544;0,755654414
28;8;13;24,5;28;13;8;-3287,251037;0,748962611
22;7;1;15;22;7;1;-3036,418943;0,581056573
9;5;23;18,5;23;9;5;-2482,308485;0,691515129
15;19;21;27,5;21;19;15;3621,668054;0,668053838
21;14;19;27;21;19;14;3242,399112;0,399111769
15;20;8;21,5;20;15;8;610,3200172;0,320017235
11;9;23;21,5;23;11;9;-912,8718207;0,12817935
13;24;28;32,5;28;24;13;4252,141726;0,141725979
2;14;6;11;14;6;2;-447,7443467;0,255653302
23;11;10;22;23;11;10;-619,1348803;0,865119703
16;27;9;26;27;16;9;-866,8333173;0,166682689
2;19;3;12;19;3;2;-2182,384018;0,615982463
2;28;2;16;28;2;2;-9408;0
6;14;20;20;20;14;6;0;0
1;7;15;11,5;15;7;1;-560,8139105;0,18608952
8;14;23;22,5;23;14;8;-292,3130412;0,686958788
7;8;18;16,5;18;8;7;-492,0120759;0,987924119
28;13;24;32,5;28;24;13;4252,141726;0,141725979
22;8;20;25;22;20;8;1275;0
25;10;11;23;25;11;10;-1496,299435;0,700564726
29;12;9;25;29;12;9;-4160;0
12;29;22;31,5;29;22;12;2599,282616;0,282615875
6;14;14;17;14;14;6;408,1874569;0,187456936
23;18;24;32,5;24;23;18;6675,014504;0,014504315
15;28;9;26;28;15;9;-1907,033298;0,966701916
9;5;14;14;14;9;5;0;0
27;8;8;21,5;27;8;8;-4647,82167;0,178330289
2;13;13;14;13;13;2;44,89988864;0,899888641
8;21;13;21;21;13;8;0;0
8;2;14;12;14;8;2;-277,1281292;0,871870789
5;17;19;20,5;19;17;5;368,4409828;0,440982808
15;23;11;24,5;23;15;11;952,2076692;0,207669215
6;22;15;21,5;22;15;6;-233,5792659;0,420734145
29;8;22;29,5;29;22;8;437,9058386;0,905838552
14;10;18;21;18;14;10;1058,574986;0,574985535
27;24;27;39;27;27;24;13489,19568;0,195676541
13;6;12;15,5;13;12;6;327,2634523;0,263452264
29;6;24;29,5;29;24;6;351,0035946;0,003594622
25;20;17;31;25;20;17;5144,614271;0,614271255
10;27;8;22,5;27;10;8;-3868,849075;0,150925138
21;7;30;29;30;21;7;-947,7890061;0,210993944
12;8;7;13,5;12;8;7;197,0308312;0,030831185
3;17;8;14;17;8;3;-740,8481626;0,151837419
15;29;1;22,5;29;15;1;-4971,693409;0,306591154
9;1;3;6,5;9;3;1;-122,695157;0,304842954
6;21;23;25;23;21;6;760;0
28;10;6;22;28;10;6;-5403,358955;0,641044683
13;25;5;21,5;25;13;5;-2276,093739;0,906260512
22;1;8;15,5;22;8;1;-2782,969658;0,030342029
8;13;25;23;25;13;8;-1438,749457;0,250543006
2;1;7;5;7;2;1;-53,66563146;0,33436854
20;22;23;32,5;23;22;20;7108,281166;0,281165852
21;4;1;13;21;4;1;-3115,196302;0,803697999
6;26;16;24;26;16;6;-1410,906092;0,093908157
25;8;22;27,5;25;22;8;1406,059362;0,059362078
19;8;3;15;19;8;3;-1301,322404;0,677595674
1;10;30;20,5;30;10;1;-8806,928008;0,07199159
15;13;27;27,5;27;15;13;475,2415093;0,241509327
6;22;20;24;22;20;6;705,4530459;0,453045922
14;20;9;21,5;20;14;9;652,0513005;0,051300465
3;25;12;20;25;12;3;-3041,052449;0,9475506
17;20;17;27;20;17;17;3637,306696;0,306695895
30;29;7;33;30;29;7;1792,303546;0,30354572
3;25;15;21,5;25;15;3;-1951,517092;0,482907854
6;15;17;19;17;15;6;453,3254901;0,325490128
9;12;28;24,5;28;12;9;-3356,547502;0,452498055
20;27;12;29,5;27;20;12;2257,421571;0,421570828
12;13;9;17;13;12;9;659,6969001;0,696900099
6;21;18;22,5;21;18;6;528,2980116;0,298011602
18;1;23;21;23;18;1;-549,9090834;0,090916605
17;6;17;20;17;17;6;563,4891303;0,48913033
8;14;21;21,5;21;14;8;234,7384682;0,738468167
7;25;13;22,5;25;13;7;-1746,170195;0,829804526
28;2;23;26,5;28;23;2;-662,1377134;0,862286558
